event, start, t, 1542752155.873
event, click, i, 0, j, 0, index, 0, t, 1542752156.782
event, click, i, 2, j, 0, index, 4, t, 1542752210.383
event, click, i, 0, j, 0, index, 0, t, 1542752243.205
event, click, i, 1, j, 0, index, 2, t, 1542752246.849
event, click, i, 2, j, 0, index, 4, t, 1542752251.785
event, click, i, 0, j, 1, index, 1, t, 1542752255.908
event, click, i, 1, j, 1, index, 3, t, 1542752261.169
event, click, i, 2, j, 1, index, 5, t, 1542752265.833
event, start, t, 1542752738.111
event, click, i, 0, j, 0, index, 0, t, 1542752739.931
event, click, i, 1, j, 0, index, 2, t, 1542752743.034
event, click, i, 2, j, 0, index, 4, t, 1542752771.749
event, click, i, 0, j, 1, index, 1, t, 1542752796.828
event, start, t, 1542752961.848
event, start, t, 1542758648.279
event, click, i, 1, j, 0, index, 2, t, 1542758659.462
event, click, i, 2, j, 0, index, 4, t, 1542758661.766
event, click, i, 0, j, 1, index, 1, t, 1542758669.568
event, click, i, 1, j, 0, index, 2, t, 1542758673.614
event, click, i, 1, j, 1, index, 3, t, 1542758677.072
event, click, i, 0, j, 0, index, 0, t, 1542758680.161
event, click, i, 2, j, 1, index, 5, t, 1542758683.204
event, click, i, 0, j, 0, index, 0, t, 1542758845.565
event, click, i, 1, j, 0, index, 2, t, 1542758848.958
event, click, i, 2, j, 0, index, 4, t, 1542758858.304
event, start, t, 1543254498.431
event, click, i, 1, j, 0, index, 2, t, 1543254610.817
event, click, i, 2, j, 0, index, 4, t, 1543254612.831
event, click, i, 2, j, 1, index, 5, t, 1543254616.255
event, click, i, 1, j, 1, index, 3, t, 1543254618.756
event, click, i, 0, j, 1, index, 1, t, 1543254620.846
event, click, i, 0, j, 0, index, 0, t, 1543254624.517
event, click, i, 1, j, 0, index, 2, t, 1543254629.542
event, click, i, 0, j, 0, index, 0, t, 1543254631.494
event, click, i, 2, j, 1, index, 5, t, 1543254634.413
event, click, i, 0, j, 1, index, 1, t, 1543254637.149
event, start, t, 1543263341.401
event, click, i, 2, j, 0, index, 4, t, 1543263402.786
event, click, i, 0, j, 0, index, 0, t, 1543263435.619
event, click, i, 0, j, 1, index, 1, t, 1543263465.449
event, click, i, 1, j, 1, index, 3, t, 1543263497.011
event, click, i, 2, j, 1, index, 5, t, 1543263531.705
event, click, i, 1, j, 0, index, 2, t, 1543263563.679
event, click, i, 2, j, 0, index, 4, t, 1543263754.668
event, click, i, 1, j, 1, index, 3, t, 1543263789.589
event, click, i, 1, j, 1, index, 3, t, 1543263794.148
event, click, i, 2, j, 1, index, 5, t, 1543263794.579
event, click, i, 1, j, 1, index, 3, t, 1543263794.93
event, click, i, 2, j, 0, index, 4, t, 1543263804.552
event, click, i, 1, j, 1, index, 3, t, 1543263807.508
event, click, i, 0, j, 0, index, 0, t, 1543263877.33
event, start, t, 1543269787.352
event, click, i, 1, j, 1, index, 3, t, 1543269862.605
event, click, i, 1, j, 0, index, 2, t, 1543270205.928
event, click, i, 1, j, 1, index, 3, t, 1543270207.694
event, click, i, 2, j, 1, index, 5, t, 1543270211.038
event, click, i, 1, j, 1, index, 3, t, 1543270213.278
event, start, t, 1543270658.549
event, click, i, 1, j, 1, index, 3, t, 1543271091.039
event, click, i, 2, j, 0, index, 4, t, 1543271104.725
event, start, t, 1543275693.12
event, start, t, 1543275733.459
event, click, i, 1, j, 0, index, 2, t, 1543275767.265
event, click, i, 2, j, 1, index, 5, t, 1543275770.359
event, click, i, 2, j, 0, index, 4, t, 1543275772.935
event, click, i, 2, j, 0, index, 4, t, 1543275775.519
event, click, i, 2, j, 1, index, 5, t, 1543275777.16
event, click, i, 0, j, 1, index, 1, t, 1543275782.162
event, click, i, 0, j, 0, index, 0, t, 1543275823.697
event, click, i, 1, j, 1, index, 3, t, 1543275827.927
event, click, i, 2, j, 0, index, 4, t, 1543275831.896
event, click, i, 2, j, 1, index, 5, t, 1543275835.608
event, click, i, 1, j, 0, index, 2, t, 1543275839.383
event, click, i, 0, j, 1, index, 1, t, 1543275843.903
event, click, i, 1, j, 0, index, 2, t, 1543275847.792
event, click, i, 1, j, 1, index, 3, t, 1543275851.808
event, click, i, 2, j, 0, index, 4, t, 1543275855.543
event, click, i, 0, j, 0, index, 0, t, 1543275859.955
event, click, i, 2, j, 1, index, 5, t, 1543275863.399
event, click, i, 0, j, 1, index, 1, t, 1543275866.935
event, click, i, 1, j, 0, index, 2, t, 1543275870.506
event, click, i, 2, j, 0, index, 4, t, 1543275873.936
event, click, i, 0, j, 1, index, 1, t, 1543275876.919
event, click, i, 2, j, 1, index, 5, t, 1543275880.447
event, click, i, 0, j, 0, index, 0, t, 1543275883.849
event, click, i, 1, j, 0, index, 2, t, 1543275996.826
event, click, i, 2, j, 1, index, 5, t, 1543276010.641
event, click, i, 0, j, 0, index, 0, t, 1543276068.752
event, click, i, 1, j, 1, index, 3, t, 1543276074.391
event, click, i, 0, j, 1, index, 1, t, 1543276078.422
event, click, i, 1, j, 0, index, 2, t, 1543276080.972
event, click, i, 2, j, 1, index, 5, t, 1543276083.783
event, click, i, 2, j, 0, index, 4, t, 1543276087.798
event, click, i, 0, j, 1, index, 1, t, 1543276090.951
event, click, i, 2, j, 0, index, 4, t, 1543276094.344
event, click, i, 0, j, 0, index, 0, t, 1543276097.775
event, click, i, 1, j, 0, index, 2, t, 1543276100.599
event, click, i, 1, j, 1, index, 3, t, 1543276103.67
event, click, i, 0, j, 0, index, 0, t, 1543276106.833
event, click, i, 2, j, 0, index, 4, t, 1543276110.174
event, click, i, 0, j, 1, index, 1, t, 1543276112.958
event, click, i, 1, j, 1, index, 3, t, 1543276116.495
event, click, i, 2, j, 0, index, 4, t, 1543276119.215
event, click, i, 1, j, 0, index, 2, t, 1543276122.886
event, click, i, 0, j, 1, index, 1, t, 1543276125.87
event, click, i, 2, j, 1, index, 5, t, 1543276128.941
event, start, t, 1543277739.162
event, start, t, 1543277842.957
event, click, i, 1, j, 0, index, 2, t, 1543277847.219
event, click, i, 2, j, 0, index, 4, t, 1543277857.547
event, click, i, 0, j, 1, index, 1, t, 1543277859.841
event, click, i, 1, j, 1, index, 3, t, 1543277863.972
event, click, i, 0, j, 0, index, 0, t, 1543277900.7
event, click, i, 0, j, 1, index, 1, t, 1543277906.314
event, click, i, 2, j, 0, index, 4, t, 1543277910.081
event, click, i, 1, j, 1, index, 3, t, 1543277913.682
